cuenta,nomenclatura,porcentaje_copropiedad,superficie_mejoras,superficie_mejoras_propias,superficie_mejoras_comunes,superficie_parcela,antiguedad,puntaje,d_viasprin,cantidad_cuentas,cantidad_cuentas_250,vut,x,y,valor_omi,fechavalor,valuacion_,log_valuacion,log_val_omi,fechavalor_dt
110143341178,1101010125044049,0.031,145.72,102.01,43.71,808.6002,4.0,96.0,50,71,2849,900,4388535.539,6524177.043,99615000.0,08/2023,63387925.210437,7.802006543693475,7.998324743654255,2023-08-01
110142989646,1101010126014046,0.01,19.64,12.95,6.69,569.9701,5.0,70.1,50,34,1645,600,4389445.866,6524925.088,22320000.0,04/2025,10853038.857096,7.035551397931744,7.348694209723178,2025-04-01
110118356217,1101010126019022,0.041,36.12,29.0,7.12,320.0,51.0,64.0,100,20,2632,950,4389209.008,6524713.413,11953800.0,11/2023,11265746.764382,7.051760023327225,7.07750602167323,2023-11-01
110142970457,1101010126020006,0.058,79.59,63.6,15.99,320.0,4.0,76.0,100,16,2507,900,4389347.598,6524830.395,117800000.0,07/2024,48245415.63631799,7.683456061221701,8.071145294137793,2024-07-01
110124679923,1101010126021001,0.042,63.31,45.0,18.31,182.4602,15.0,64.0,100,29,1887,900,4389414.355,6524868.705,23907600.0,11/2023,19389859.710592,7.287574689283009,7.378535999171672,2023-11-01
110143355888,1101010126021010,0.034,60.68,44.93,15.75,350.37,4.0,70.0,100,30,1894,440,4389488.012,6524876.653,23110680.0,07/2023,23540668.89521,7.371818817371206,7.363812742977363,2023-07-01
110143831566,1101010126021020,0.033,61.8,47.32,14.48,350.0,9.0,74.0,100,29,2303,900,4389481.279,6524808.153,25899900.0,08/2023,17306869.868726,7.238218553300561,7.413298104033535,2023-08-01
110124654181,1101010126021031,0.024,75.89,54.0,21.89,632.5396,15.0,64.0,150,51,2324,900,4389442.261,6524831.418,20909000.0,08/2022,14774447.798448,7.16951128730234,7.320333283389081,2022-08-01
110124654351,1101010126021031,0.027,82.77,59.0,23.77,632.5396,15.0,64.0,150,51,2324,900,4389442.261,6524831.418,14891349.999999998,11/2021,6989146.2879840005,6.844424192811024,7.172934100386762,2021-11-01
110141055348,1101010126024019,0.022,60.67,46.0,14.67,500.0,11.0,70.0,0,46,1207,540,4389874.562,6524967.14,80600000.0,07/2024,59651020.324943006,7.775617883915661,7.90633504719336,2024-07-01
110142448793,1101010126025041,0.037,58.97,43.82,15.15,275.0,10.0,64.0,0,28,1200,540,4389941.901,6524962.136,62000000.00000001,03/2024,48504878.595356,7.685785430864914,7.792391696503003,2024-03-01
110124285356,1101010126025045,0.041,47.14,37.0,10.14,499.995,18.0,64.0,0,16,1159,540,4389941.002,6525004.195,6292797.0,03/2022,8963337.138258,6.952469780313424,6.798843791036638,2022-03-01
